driver_id,frame_idx,route_idx,actual_profit,matched_riders,feasible_count,route_distance_m,route_duration_s,corridor_cell_count,hour_of_day,day_of_week,is_weekend,corridor_rider_count,corridor_demand_density,mean_rider_fare,corridor_fare_density,day_of_month,time_bin_15min,hour_sin,hour_cos,route_sinuosity,route_avg_speed_ms,bearing_sin,bearing_cos,straight_line_dist_m,origin_landmark_dist_km,dest_landmark_dist_km,origin_jfk_km,origin_lga_km,origin_penn_km,origin_times_sq_km,dest_jfk_km,dest_lga_km,dest_penn_km,dest_times_sq_km,corridor_hist_pickups,corridor_hist_dropoffs,corridor_hist_pickup_density,corridor_hist_dropoff_density,corridor_hist_mean_fare,corridor_hist_fare_density,origin_cell_pickups,origin_cell_mean_fare,dest_cell_dropoffs
0,8048,0,-8.021232306411324,0,0,19267.0,1481.5,189,3,2,0,0,0.0,0.0,0.0,15,13,0.7071067811865476,0.7071067811865476,1.385421118882242,13.005062436719541,-0.2951508767111743,-0.9554506580544205,13906.962826973951,2.2660627568955536,7.207420189860567,20.71256049821408,7.213830641691975,3.4856219316306776,2.488946436443454,19.36267744103557,18.21451479518597,11.45325068131654,12.36578594773628,956448,1019176,5060.571428571428,5392.465608465608,12.921063676929263,57996.157566137525,27882,10.714586471558711,184
0,8048,1,-9.38975853455454,0,0,22554.2,1643.3,221,3,2,0,0,0.0,0.0,0.0,15,13,0.7071067811865476,0.7071067811865476,1.6217919239888858,13.724943710825778,-0.2951508767111743,-0.9554506580544205,13906.962826973951,2.2660627568955536,7.207420189860567,20.71256049821408,7.213830641691975,3.4856219316306776,2.488946436443454,19.36267744103557,18.21451479518597,11.45325068131654,12.36578594773628,643917,661330,2913.651583710407,2992.443438914027,13.921868211653596,31810.672307692315,27882,10.714586471558711,184
1,8123,0,-6.532805995004163,0,0,15691.8,1201.7,147,7,6,1,0,0.0,0.0,0.0,19,31,0.9659258262890683,-0.25881904510252063,1.575616347557949,13.058001165016226,0.9731720722057482,0.23007850373029198,9959.150287010383,0.5090430172206863,0.38936499864383095,21.543310128411058,9.821903818829377,0.6799792569891528,0.5090430172206863,16.72145316280262,0.38936499864383095,10.614903723268572,9.776944383153683,1045592,957349,7112.8707482993195,6512.578231292517,16.13764053334689,86315.64673469384,32142,10.384344471408125,27700
1,8123,1,-2.3776852622814335,1,1,14118.2,1279.9,137,7,6,1,1,0.0072992700729927005,7.0,0.051094890510948905,19,31,0.9659258262890683,-0.25881904510252063,1.4176108998389374,11.030705523869052,0.9731720722057482,0.23007850373029198,9959.150287010383,0.5090430172206863,0.38936499864383095,21.543310128411058,9.821903818829377,0.6799792569891528,0.5090430172206863,16.72145316280262,0.38936499864383095,10.614903723268572,9.776944383153683,1949696,1784686,14231.357664233577,13026.905109489051,13.906929581353609,161308.57007299268,32142,10.384344471408125,27700
2,9430,0,-9.321482098251458,0,0,22390.2,2097.6,218,16,4,0,0,0.0,0.0,0.0,17,65,-0.8660254037844385,-0.5000000000000004,1.2242002409491504,10.674199084668192,-0.9643748736730915,0.2645394167756645,18289.65495272274,0.506643983977216,3.3206119937295715,0.506643983977216,16.621799984503404,21.34964031522318,21.273309816573892,18.728211542332442,13.998036272676378,6.96409978257723,7.812236330655084,52204,70145,239.4678899082569,321.76605504587155,15.980537179624129,3659.6083027522936,5953,21.367554174365868,2027
2,9430,1,-13.02073272273106,0,0,31275.8,2147.8,303,16,4,0,0,0.0,0.0,0.0,17,65,-0.8660254037844385,-0.5000000000000004,1.7100267927878017,14.561784151224508,-0.9643748736730915,0.2645394167756645,18289.65495272274,0.506643983977216,3.3206119937295715,0.506643983977216,16.621799984503404,21.34964031522318,21.273309816573892,18.728211542332442,13.998036272676378,6.96409978257723,7.812236330655084,80225,125211,264.76897689768975,413.23762376237624,18.51807823171718,3961.879372937295,5953,21.367554174365868,2027
3,20866,0,-4.997169025811824,0,0,12003.2,1161.6,119,0,2,0,1,0.008403361344537815,8.0,0.06722689075630252,1,1,0.0,1.0,1.392814529348285,10.333333333333334,0.5470398384816588,-0.837106573330995,8617.945711419628,0.8825454605447232,7.271943893932791,21.9897848480807,9.130264339658316,1.9370463551242194,0.8825454605447232,14.054034809809178,9.546580750194224,7.998276220765676,8.165571677372522,1081491,972766,9088.159663865546,8174.504201680672,14.108518881545363,95244.16764705883,61262,10.538128040220693,1084
3,20866,1,-2.476477935054122,1,1,13154.5,1191.3,128,0,2,0,4,0.03125,9.0,0.28125,1,1,0.0,1.0,1.5264078517655304,11.042138839922774,0.5470398384816588,-0.837106573330995,8617.945711419628,0.8825454605447232,7.271943893932791,21.9897848480807,9.130264339658316,1.9370463551242194,0.8825454605447232,14.054034809809178,9.546580750194224,7.998276220765676,8.165571677372522,1625237,1526352,12697.1640625,11924.625,14.571921617627746,133775.87515625,61262,10.538128040220693,1084
4,22134,0,-12.471565362198168,0,0,29956.7,2169.6,287,1,1,0,0,0.0,0.0,0.0,21,7,0.25881904510252074,0.9659258262890683,1.535472047905242,13.807476032448378,-0.8835694919188115,0.4683000672115405,19509.76576933995,0.499997346738747,2.717799632251785,0.499997346738747,16.62349973840188,21.360143815622187,21.283017102289527,19.9807416481828,11.013788686141536,2.717799632251785,3.491093304953345,1080612,953013,3765.198606271777,3320.602787456446,19.08369428998029,41065.41121951219,5953,21.367554174365868,14996
4,22134,1,-10.231723563696919,0,0,24576.6,2255.0,239,1,1,0,0,0.0,0.0,0.0,21,7,0.25881904510252074,0.9659258262890683,1.2597075890384444,10.898713968957871,-0.8835694919188115,0.4683000672115405,19509.76576933995,0.499997346738747,2.717799632251785,0.499997346738747,16.62349973840188,21.360143815622187,21.283017102289527,19.9807416481828,11.013788686141536,2.717799632251785,3.491093304953345,531904,474058,2225.539748953975,1983.5062761506276,15.623988213341116,26343.239163179926,5953,21.367554174365868,14996
5,25686,0,-10.886344712739385,0,0,26149.0,1765.1,253,7,3,0,0,0.0,0.0,0.0,2,31,0.9659258262890683,-0.25881904510252063,1.5672649293664975,14.814458104356694,-0.9396105815831709,-0.3422454601261138,16684.479764738728,0.4437301913264692,13.964821282116954,21.47939515084423,10.44796334932855,0.4437301913264692,1.3442019992997902,34.21396360641082,27.130805579015117,16.674035680057422,17.614912582070723,1131398,946178,4471.928853754941,3739.8339920948615,25.207047837871368,48419.19359683795,39432,10.66279443091905,18
